연도,학년,과목,문형,문항번호,성취기준_코드,시대,문제형식,세부형식,자료핵심요소,정답,정답핵심요소,이미지경로,원본PDF,처리일시
2024,고1,역사,가형,1,9역07-01,삼국시대 이전,답사형,가이드 1명 설명,"고인돌, 계급 발생",4,청동기,output/images/basic/2024_고1_역사_가형_1.png,input/pdf/고1한국사/(2024)고1역사2(가형)검사지.pdf,2026-07-08T16:17:31+09:00
2024,고1,역사,가형,2,9역07-02,삼국시대 이전,수업형,탐구 활동 보고서,"주몽, 동맹, 서옥제",5,고구려,output/images/basic/2024_고1_역사_가형_2.png,input/pdf/고1한국사/(2024)고1역사2(가형)검사지.pdf,2026-07-08T16:17:31+09:00
2024,고1,역사,가형,3,9역07-01,삼국시대 이전,대화형,학생 3인 대화,"청동기 문화, 8조법, 단군왕검",5,고조선,output/images/basic/2024_고1_역사_가형_3.png,input/pdf/고1한국사/(2024)고1역사2(가형)검사지.pdf,2026-07-08T16:17:31+09:00
2024,고1,역사,가형,4,9역07-03,삼국시대,대화형,역사 인물 대화,"장수왕, 영락 연호, 고구려 정복 활동",5,광개토 대왕,output/images/basic/2024_고1_역사_가형_4.png,input/pdf/고1한국사/(2024)고1역사2(가형)검사지.pdf,2026-07-08T16:17:31+09:00
2024,고1,역사,가형,5,9역07-04,삼국시대,자료 제시형,백과사전,"석가모니, 사찰, 탑, 불상",3,불교,output/images/basic/2024_고1_역사_가형_5.png,input/pdf/고1한국사/(2024)고1역사2(가형)검사지.pdf,2026-07-08T16:17:31+09:00
2024,고1,역사,가형,6,9역08-01,남북국시대,마인드맵형,인과 관계도,"나당 동맹, 백제 멸망, 고구려 멸망, 나당 전쟁",5,삼국 통일,output/images/basic/2024_고1_역사_가형_6.png,input/pdf/고1한국사/(2024)고1역사2(가형)검사지.pdf,2026-07-08T16:17:31+09:00
2024,고1,역사,가형,7,9역08-01,남북국시대,수업형,교사와 학생 대화,"발해, 일본에 보낸 외교 문서, 고려(고구려) 왕 자칭",5,고구려 계승 의식,output/images/basic/2024_고1_역사_가형_7.png,input/pdf/고1한국사/(2024)고1역사2(가형)검사지.pdf,2026-07-08T16:17:31+09:00
2024,고1,역사,가형,8,9역08-02,남북국시대,퀴즈형,골든벨,"국학, 신문왕",3,인재 양성,output/images/basic/2024_고1_역사_가형_8.png,input/pdf/고1한국사/(2024)고1역사2(가형)검사지.pdf,2026-07-08T16:17:31+09:00
2024,고1,역사,가형,9,9역08-03,남북국시대,자료 제시형,가상현실(VR) 체험,"다보탑, 불교의 이상 세계",3,불국사,output/images/basic/2024_고1_역사_가형_9.png,input/pdf/고1한국사/(2024)고1역사2(가형)검사지.pdf,2026-07-08T16:17:31+09:00
2024,고1,역사,가형,10,9역08-02,남북국시대,퀴즈형,스피드 퀴즈,"골품제, 관직 진출 제한, 최치원",1,6두품,output/images/basic/2024_고1_역사_가형_10.png,input/pdf/고1한국사/(2024)고1역사2(가형)검사지.pdf,2026-07-08T16:17:31+09:00
2024,고1,역사,가형,11,9역09-01,고려,카드형,역사 인물 카드,"태조 왕건, 후삼국 통일, 훈요 10조",1,고려 건국,output/images/basic/2024_고1_역사_가형_11.png,input/pdf/고1한국사/(2024)고1역사2(가형)검사지.pdf,2026-07-08T16:17:31+09:00
2024,고1,역사,가형,12,9역09-01,고려,영상자료형,드라마 장면 자료,"무신 정변, 문신에 대한 차별, 정중부",4,무신 정변,output/images/basic/2024_고1_역사_가형_12.png,input/pdf/고1한국사/(2024)고1역사2(가형)검사지.pdf,2026-07-08T16:17:31+09:00
2024,고1,역사,가형,13,9역09-02,고려,대화형,역사 인물 대화,"서희, 소손녕, 거란과의 외교 담판",1,서희,output/images/basic/2024_고1_역사_가형_13.png,input/pdf/고1한국사/(2024)고1역사2(가형)검사지.pdf,2026-07-08T16:17:31+09:00
2024,고1,역사,가형,14,9역09-03,고려,대화형,백성 2인 대화,"기철, 친원 세력, 권문세족의 횡포",2,반원 자주 개혁,output/images/basic/2024_고1_역사_가형_14.png,input/pdf/고1한국사/(2024)고1역사2(가형)검사지.pdf,2026-07-08T16:17:31+09:00
2024,고1,역사,가형,15,9역09-04,고려,대화형,학생 2인 대화,"김부식, 삼국사기",2,삼국사기,output/images/basic/2024_고1_역사_가형_15.png,input/pdf/고1한국사/(2024)고1역사2(가형)검사지.pdf,2026-07-08T16:17:31+09:00
