연도,학년,과목,문형,문항번호,성취기준_코드,시대,문제형식,세부형식,자료핵심요소,정답,정답핵심요소,이미지경로,원본PDF,처리일시
2022,공통,한국사,60회심화,1,,삼국시대 이전,답사형,화순 고인돌·가이드,"화순 고인돌, 계급 발생, 채석장",3,반달 돌칼로 곡물 수확,output/images/hancert/2022_공통_한국사_60회심화_1.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,2,,삼국시대 이전,실내전시형,전시 유물·오디오 가이드,"쑹화강, 영고, 형사취수제, 금동 얼굴 장식",3,가(加)·사출도,output/images/hancert/2022_공통_한국사_60회심화_2.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,3,,삼국시대,자료 제시형,문화유산 포털·고분군,"김해 양동리, 수로왕, 널무덤·철기",1,법흥왕 때 신라 복속,output/images/hancert/2022_공통_한국사_60회심화_3.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,4,,삼국시대,자료 제시형,단일 문헌·이후 사실,"소정방, 흑치상지, 임존산 부흥",2,안승 보덕국왕 임명,output/images/hancert/2022_공통_한국사_60회심화_4.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,5,,삼국시대,자료 제시형,삼국사기 DB·왕대 검색,"실직주성, 북위 사신, 백제 도성 함락",1,국내성→평양 천도,output/images/hancert/2022_공통_한국사_60회심화_5.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,6,,남북국시대,자료 제시형,VR 전시실·태블릿,"해동성국, 영광탑, 정효공주묘, 석등",1,중정대 설치,output/images/hancert/2022_공통_한국사_60회심화_6.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,7,,남북국시대,자료 제시형,문화행사 포스터·부석사,"부석사 창건, 당 유학, 선묘 설화",5,화엄일승법계도,output/images/hancert/2022_공통_한국사_60회심화_7.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,8,,남북국시대,대화형,학생 3인 대화,"김흠돌의 난, 감은사, 9주 완비",4,관료전 지급·녹읍 폐지,output/images/hancert/2022_공통_한국사_60회심화_8.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,9,,남북국시대,자료 제시형,화면 해설·철원 석등,"태봉, 철원 도성, 석등",5,광평성 등 정치 기구,output/images/hancert/2022_공통_한국사_60회심화_9.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,10,,고려,카드형,문화유산 카드·철불,"하사창동 철조여래좌상, 호족 후원, 석굴암 양식",2,철조 석가여래좌상,output/images/hancert/2022_공통_한국사_60회심화_10.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,11,,고려,자료 제시형,복합 문헌·순서,"이자겸·금 사대, 진포 해전, 충주성·김윤후",2,(가)-(다)-(나),output/images/hancert/2022_공통_한국사_60회심화_11.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,12,,고려,자료 제시형,인물 연보·정치 기구,"윤관, 상서성·추밀원·어사대·한림원·중서문하성",3,어사대 감찰·풍기 단속,output/images/hancert/2022_공통_한국사_60회심화_12.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,13,,고려,자료 제시형,이달의 책·농서,"원 간섭기, 이암, 농상집요, 면화",5,경시서 시전 감독,output/images/hancert/2022_공통_한국사_60회심화_13.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,14,,고려,역사 장면형,궁중 대화·거란 침입,"강조, 김치양, 강감찬·귀주",3,거란 침입·나주 피난,output/images/hancert/2022_공통_한국사_60회심화_14.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,15,,고려,자료 제시형,단일 문헌·이후 사실,"최우, 정방, 정년도목",1,삼별초 용장성 항전,output/images/hancert/2022_공통_한국사_60회심화_15.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,16,,고려,자료 제시형,복합 문헌·토지 제도,"문종 전시과, 공양왕 과전법",4,과전법 경기 한정,output/images/hancert/2022_공통_한국사_60회심화_16.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,17,,고려,자료 제시형,유학자 표·빈칸,"최승로, 최충, 김부식, 안향, 이제현",3,시무 28조,output/images/hancert/2022_공통_한국사_60회심화_17.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,18,,고려,자료 제시형,복합 문헌·시기 사이,"쌍성총관부 설치, 유인우 수복",2,정동행성 설치,output/images/hancert/2022_공통_한국사_60회심화_18.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,19,,조선,자료 제시형,단일 문헌·고종실록,"정궁 중건, 전란 소실, 대왕대비 전교",1,근정전 정전,output/images/hancert/2022_공통_한국사_60회심화_19.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,20,,조선,자료 제시형,단일 문헌·국조오례의,"세종·예종·성종, 오례의 완성",1,경국대전 완성,output/images/hancert/2022_공통_한국사_60회심화_20.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,21,,조선,자료 제시형,계회도·기구,"은대계회도, 도승지, 은대·정원",4,왕명 출납 비서 기관,output/images/hancert/2022_공통_한국사_60회심화_21.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
